,vendor_id,chain_id,geohash,primary_cuisine
0,a5028ec5,,u6sc9,thai
1,fed855cd,,u6sc7,thai
2,5f4ad3ab,,u6sc8,sushi
3,83b6b60e,,u6sce,asiatiskt
4,8978d654,,u6scd,asiatiskt
5,cc2bde99,,u6sc7,asiatiskt
6,5f16da40,,u6sce,asiatiskt
7,15d12850,,u6scd,asiatiskt
9,690d759e,,u6scd,sushi
10,f9e9047b,25e2afdb,u6sc8,kafé
11,8b24ce41,,u6sc7,kafé
12,024c0b15,2a503425,u6scs,kafé
13,6a09aaf4,,u6scd,kafé
14,a3527312,,u6scd,kafé
15,52d77ce2,,u6sce,kafé
16,924a86ce,03e873b7,u6scd,bageri
17,8d1d29c1,,u6sc7,grekiskt
18,6856d141,392c19c2,u6sc7,grekiskt
19,8acb466a,,u6sc4,gatukök
23,1e610dca,,u6scc,pizza
24,1d369e22,,u6sce,pizza
26,b8caef82,,u6sce,pizza
27,81534f02,,u6sce,pizza
28,d61ad5ca,,u6scd,pizza
29,7fdb94e9,,u6scd,pizza
30,1adf045f,,u6sc7,pizza
31,bdda12f5,,u6sct,pizza
34,e21306e2,,u6scd,pizza
35,6fa10904,,u6sc3,pizza
37,cc43c1f6,,u6scd,spanskt
38,9f6c635c,5970d55b,u6sc7,sallad
39,9379f1e0,,u6sce,sallad
43,2939103f,19907b43,u6scd,sushi
44,9134053c,19907b43,u6scd,sushi
45,9259eb1c,,u6sc6,sushi
46,a66ad4eb,,u6scd,sushi
47,fa111602,,u6sc5,sushi
51,3c4c73c7,,u6sc9,indiskt
52,af3749df,,u6scd,indiskt
53,14d555be,,u6sc6,indiskt
54,fa25e637,,u6sc8,indiskt
58,4fdc1496,2abe5ab4,u6sc7,indiskt
59,edf40967,c531ca2c,u6sc8,burgare
60,066ceb89,c531ca2c,u6scd,burgare
61,6e62a3c9,5e50109c,u6sc7,burgare
63,2760b307,3aa4011e,u6scd,burgare
64,17db1f48,,u6sc7,burgare
65,dc612e51,6de3a4f4,u6sc5,burgare
66,c9523eea,c404c4ad,u6scd,burgare
67,85c0562a,5522f209,u6scd,burgare
68,9f05e684,316c4884,u6sce,burgare
70,aa7ba06b,34223d11,u6sc9,burgare
71,dbf1dff9,a94f6c62,u6sc5,burgare
72,6071ebe8,a94f6c62,u6sce,burgare
75,ca519609,a94f6c62,u6sc6,burgare
76,bd24db77,d8712d12,u6sc7,pizza
77,996c6a80,,u6sc6,italienskt
78,e17b5585,,u6sc7,italienskt
80,161611c2,,u6sc6,mexikanskt
82,75165d44,be353224,u6sc7,mexikanskt
84,f11eeb6e,,u6scs,mexikanskt
85,5247c322,,u6sc7,svenskt
87,7cd6e52c,f7ab1d82,u6sc7,amerikanskt
90,3a07d7da,,u6scd,kinesiskt
93,738a4b8e,,u6sc8,sushi
94,bb9c5c50,,u6scd,japanskt
97,45302aee,122056ee,u6sce,sallad
100,3123f660,,u6scd,smörgåsar
102,88df8678,,u6scd,vegetariskt
106,bf964841,,u6scd,vegetariskt
111,fdc30360,,u6sc7,internationell
113,80481ef4,941c42fd,u6scd,mellanöstern
116,95d085e9,,u6scm,asiatiskt
118,fb1fc79e,25e2afdb,u6sc1,kafé
127,3abf0625,,u6sch,burgare
137,bafe0c15,,u6sc9,thai
141,fe0cbae5,,u6sc2,pizza
151,e1f3e4a4,3ed908e5,u6sc5,italienskt
154,cc244809,e85732ab,u6sc8,japanskt
158,676b6441,,u6sc6,indiskt
160,e0119066,,u6scv,pizza
161,7de772f3,,u6sc4,libanesiskt
162,b8ac39f9,,u6sc5,pizza
163,90dcf7a1,,u6scn,pizza
164,39638219,,u6sc8,unknown
165,58b9c28e,10e16d44,u6sc7,thai
166,4e248c40,,u6sc7,thai
167,ecf4e3ee,,u6sc9,asiatiskt
168,c33fcf0d,,u6sc1,asiatiskt
169,43c85200,,u6sc3,grekiskt
170,b320fc04,,u6sck,kött
171,f3d88694,,u6scf,indiskt
172,9cf99952,,u6sc5,gatukök
173,5efd69bc,,u6scb,asiatiskt
174,f936c92c,,u6sc4,pizza
175,ee923688,,u6sce,asiatiskt
179,da9e9152,,u6sc7,pizza
182,a5c8e972,,u6sc7,sushi
183,857631f1,,u6sc6,sushi
190,3a929876,,u6sc9,italienskt
196,88a2c419,,u6sc6,thai
199,970106b2,,u6sc9,pizza
200,70f97a07,,u6scd,pizza
201,ce49c069,,u6sc8,kafé
202,e30f51c3,c4c31da3,u6scd,bageri
203,80350a81,,u6sce,indiskt
209,3783bb9e,,u6sc8,vegetariskt
210,ff9a6408,,u6sc7,pizza
211,c27a4cbf,3d5df1ec,u6sck,unknown
215,acdf32cb,,u6sce,mellanöstern
218,5a280496,2a503425,u6sce,kafé
226,75310200,,u6sc6,kebab
228,4fb329a7,cd7fa69d,u6sc2,pizza
229,a8096ca8,,u6scs,pizza
233,5846dd31,,u6scb,indiskt
236,41fd8850,,u6sc9,italienskt
238,af0726bf,588b7aa0,u6scc,svenskt
240,f4d796c9,,u6sc9,vegetariskt
242,a823e38a,,u6sce,mellanöstern
243,ac557e0a,,u6sce,thai
244,ba11e876,,u6scd,asiatiskt
249,7f1ff903,,u6scs,sushi
250,97086270,,u6scd,burgare
252,98d657c4,,u6scd,svenskt
257,b707edba,,u6scm,thai
258,f2f14509,8e758177,u6sc6,asiatiskt
262,5c9bf24a,,u6scs,gatukök
263,175fb095,,u6sce,kebab
265,00becf6b,,u6scd,pizza
266,5c055eca,,u6sce,pizza
267,6d68a274,,u6scd,pizza
268,4b843f8a,,u6sce,pizza
269,9a0396c2,,u6scd,kött
272,e7990a91,7615f553,u6sc7,sushi
273,46cbdd18,,u6sc6,sushi
274,c008b18f,,u6sc7,franskt
275,ed149aba,,u6sce,indiskt
276,b8c5b03e,,u6sc7,indiskt
279,585cd5cc,,u6sc7,burgare
280,f8871c6b,114db791,u6scd,burgare
282,81947568,,u6sc7,italienskt
283,2e2299a3,,u6sc7,italienskt
287,a2f6e2a2,e85732ab,u6scd,japanskt
289,97a10e5e,45476d3e,u6sce,pizza
290,5fe5e9e6,,u6sc7,svenskt
292,5b005311,,u6sce,amerikanskt
293,bbdba642,,u6scf,italienskt
